sex,hhsize,age_num,displace,yrs_dis,other_victim,endorse_coca,rest_yn,dis_return
female,8,40,1,4,0,agree,0,1
female,5,58,1,11,0,disagree,0,0
male,2,36,0,,1,disagree,0,
male,6,40,1,16,1,disagree,0,1
female,4,38,1,5,0,neutral,0,0
female,5,48,1,5,0,agree,1,0
male,3,58,0,,0,agree,0,
male,6,71,0,,1,neutral,0,
female,2,24,0,,1,neutral,0,
male,4,38,1,17,0,strong disagree,1,0
female,3,29,0,,0,agree,0,
female,4,45,1,14,0,disagree,0,0
female,6,55,0,,1,agree,0,
female,4,30,1,15,0,neutral,0,0
male,4,52,0,,0,neutral,0,
male,3,39,0,,1,neutral,0,
female,5,51,1,17,1,disagree,0,1
male,6,44,0,,1,strong agree,0,
female,4,24,0,,0,neutral,0,
male,1,57,0,,0,agree,0,
male,8,68,0,,0,,0,
female,2,75,0,,1,agree,0,
male,4,48,0,,1,,0,
male,3,55,1,20,1,strong agree,0,0
female,3,54,1,16,1,agree,0,1
male,4,53,1,18,1,agree,0,0
female,9,54,0,,1,agree,1,
male,5,49,1,5,0,agree,0,1
male,3,37,1,15,0,agree,0,0
female,6,53,0,,0,agree,0,
female,4,35,1,19,1,agree,0,1
female,4,55,0,,1,disagree,0,
female,4,40,0,,0,neutral,0,
female,5,57,0,,1,neutral,0,
male,5,48,1,18,1,disagree,0,0
female,2,45,1,18,1,neutral,0,0
male,4,62,1,27,1,disagree,0,0
male,4,26,1,17,1,strong agree,1,1
male,8,32,1,20,1,agree,0,1
female,5,25,1,,0,neutral,0,0
female,4,42,1,7,0,agree,0,1
female,4,64,1,18,0,agree,0,1
male,7,43,1,14,0,agree,0,1
female,5,42,0,,1,agree,0,
female,5,32,0,,0,disagree,0,
female,9,45,1,20,1,agree,0,0
male,4,35,0,,1,disagree,0,
female,2,49,1,12,0,disagree,0,1
male,7,67,0,,0,agree,0,
female,3,31,0,,0,strong agree,0,
male,8,59,0,,1,disagree,0,
female,4,71,0,,0,strong agree,0,
female,6,33,0,,0,,0,
male,4,48,0,,0,agree,0,
male,2,71,0,,1,neutral,0,
female,3,45,1,14,0,agree,0,0
male,5,42,0,,0,agree,0,
male,5,36,1,16,1,strong disagree,0,1
male,4,45,0,,0,disagree,0,
female,4,26,1,19,1,strong agree,1,1
female,7,48,1,9,1,,0,0
male,5,55,0,,0,neutral,0,
female,6,45,1,2,1,disagree,1,0
female,4,38,0,,1,agree,0,
female,4,33,0,,0,agree,0,
male,4,72,0,,1,agree,0,
female,3,49,0,,1,agree,0,
male,4,44,0,,0,agree,0,
male,6,45,0,,0,neutral,0,
male,3,47,0,,1,agree,0,
female,3,36,0,,0,neutral,0,
female,6,61,0,,1,disagree,0,
male,4,49,1,30,0,agree,0,0
female,5,23,1,4,0,disagree,0,1
female,4,23,0,,1,agree,0,
male,4,38,0,,0,strong agree,1,
male,6,61,0,,1,strong agree,0,
female,1,70,1,16,0,agree,0,0
female,4,46,0,,0,neutral,0,
female,6,35,0,,0,agree,0,
male,3,,0,,0,strong agree,0,
male,5,34,0,,1,strong agree,0,
male,3,74,1,13,1,disagree,0,1
male,7,60,1,19,1,agree,0,1
female,5,42,1,11,1,agree,0,1
female,4,32,0,,0,agree,0,
female,5,33,0,,1,agree,0,
male,3,53,0,,1,disagree,0,
male,4,40,0,,0,strong agree,0,
female,5,59,1,18,0,agree,0,1
male,4,40,1,,0,neutral,0,0
male,5,27,0,,0,disagree,0,
female,3,56,0,,0,agree,0,
male,7,49,0,,0,disagree,0,
male,3,44,0,,1,,0,
male,3,36,0,,0,disagree,0,
male,5,41,0,,1,agree,0,
male,1,72,0,,0,agree,0,
female,7,43,0,,0,disagree,0,
male,3,42,1,15,0,strong agree,0,0
male,4,53,0,,0,agree,0,
male,4,63,0,,0,strong agree,0,
female,5,45,1,12,0,strong agree,0,0
female,2,57,0,,1,neutral,0,
male,7,23,0,,0,disagree,0,
female,2,55,0,,0,neutral,0,
female,3,34,0,,1,strong agree,0,
female,7,42,1,8,1,neutral,0,1
female,3,82,0,,1,strong agree,0,
male,2,95,1,62,0,neutral,0,1
male,4,34,1,14,0,neutral,0,1
female,6,61,0,,0,neutral,0,
female,6,76,1,67,0,neutral,0,0
female,5,30,0,,0,agree,0,
female,5,28,0,,0,agree,0,
female,10,54,0,,0,disagree,0,
male,5,50,0,,1,strong disagree,0,
male,2,66,0,,0,agree,1,
male,6,63,0,,0,disagree,0,
female,2,60,0,,0,agree,0,
female,3,49,1,7,1,,0,1
male,8,64,0,,0,agree,0,
male,5,52,1,15,1,agree,0,0
male,5,83,1,9,1,strong agree,0,0
male,4,36,0,,0,neutral,0,
female,5,62,0,,1,agree,0,
female,4,68,1,13,1,neutral,0,1
male,6,67,1,8,0,agree,0,0
female,10,51,0,,0,agree,0,
female,3,53,0,,0,strong agree,0,
female,4,52,1,12,0,strong agree,0,0
male,2,65,0,,0,disagree,0,
female,2,63,1,8,1,agree,0,1
male,5,67,0,,0,agree,0,
male,4,79,1,14,0,neutral,0,1
male,3,57,1,19,1,agree,0,1
female,5,25,1,16,1,neutral,0,1
male,2,70,1,16,0,disagree,1,1
female,8,54,1,16,0,agree,0,0
male,4,37,0,,0,neutral,0,
male,5,27,1,17,0,disagree,0,1
female,5,27,,,0,neutral,0,
male,2,39,1,14,1,agree,0,1
female,5,46,1,17,0,agree,0,1
male,2,31,0,,0,agree,0,
female,5,67,1,17,0,agree,1,1
male,4,31,0,,0,agree,0,
male,4,59,1,12,1,strong agree,1,0
male,4,63,0,,0,strong agree,0,
female,3,48,0,,0,agree,0,
male,3,54,0,,0,strong agree,0,
female,3,49,0,,0,disagree,0,
female,4,32,0,,0,agree,0,
male,6,30,1,14,0,agree,0,1
female,3,19,0,,0,agree,0,
female,6,66,1,17,1,agree,1,1
female,3,43,1,13,0,strong agree,0,0
male,8,59,1,14,0,agree,1,1
male,2,71,1,11,0,agree,0,1
male,6,41,0,,0,agree,0,
female,4,35,1,,,disagree,0,1
female,5,30,1,5,0,disagree,0,1
male,6,34,1,18,0,agree,1,1
female,4,38,1,12,0,agree,0,1
male,2,63,0,,0,strong disagree,0,
male,5,52,0,,1,disagree,0,
female,6,35,1,16,1,agree,0,0
male,3,30,1,20,0,disagree,0,1
male,5,51,1,12,0,neutral,0,1
male,3,74,0,,1,agree,0,
female,4,29,1,13,1,agree,0,0
female,2,65,0,,1,,0,
female,2,22,0,,0,neutral,0,
female,4,50,0,,1,neutral,0,
male,3,61,0,,1,agree,0,
female,3,27,0,,0,disagree,0,
female,13,64,0,,1,neutral,0,
female,4,20,1,8,1,neutral,1,1
female,11,47,1,9,0,disagree,1,0
female,3,20,0,,0,strong disagree,0,
female,5,43,1,6,1,,0,0
female,7,42,1,15,1,agree,0,0
male,5,43,1,9,0,agree,0,1
female,2,71,0,,0,strong agree,0,
female,4,45,0,,1,agree,0,
female,6,59,1,15,1,agree,0,0
male,7,44,1,17,1,agree,0,0
male,3,36,1,13,0,strong agree,0,1
male,1,50,0,,1,agree,0,
male,9,69,1,9,1,agree,0,1
female,5,34,1,15,0,strong agree,0,0
female,4,68,1,17,1,agree,1,1
female,5,51,0,,1,agree,0,
male,5,55,0,,1,strong disagree,1,
male,2,27,0,,1,agree,0,
female,6,39,0,,0,agree,0,
female,3,20,0,,0,disagree,0,
male,3,30,1,17,0,disagree,0,0
male,4,37,0,,0,,0,
female,6,23,1,15,0,agree,0,1
male,6,50,0,,0,strong agree,0,
female,6,50,0,,0,neutral,0,
male,4,23,0,,0,disagree,0,
female,5,53,0,,0,,0,
male,2,53,0,,1,strong agree,0,
female,5,42,1,8,1,agree,0,0
female,5,36,,,1,,0,
female,2,61,1,22,0,,0,1
female,6,40,1,14,0,strong agree,0,0
male,4,31,0,,1,disagree,0,
female,5,27,0,,1,strong agree,0,
female,3,21,0,,0,neutral,0,
female,5,41,1,17,1,neutral,0,0
female,3,56,1,17,1,neutral,0,0
female,6,46,1,18,0,agree,0,1
male,7,46,1,17,0,agree,0,0
male,9,59,0,,0,,0,
female,5,28,0,,0,neutral,0,
male,3,32,0,,0,agree,0,
female,4,65,0,,0,strong disagree,0,
female,4,46,0,,1,disagree,0,
male,3,73,0,,0,agree,0,
female,7,54,1,4,0,agree,0,0
male,4,38,0,,0,agree,0,
female,8,67,1,7,0,strong agree,0,1
female,6,33,0,,0,agree,0,
female,2,50,0,,1,strong agree,0,
male,7,39,0,,1,agree,0,
female,2,47,1,31,1,agree,0,0
female,2,33,0,,0,strong agree,0,
female,5,50,1,20,0,agree,1,1
male,4,60,1,27,1,strong agree,0,1
female,4,29,1,18,1,strong agree,1,1
male,4,31,1,18,0,strong agree,0,1
female,5,67,1,58,0,agree,0,1
female,3,48,1,17,0,strong agree,0,1
female,4,41,0,,0,agree,0,
female,4,32,1,14,0,agree,0,1
male,4,28,0,,1,disagree,0,
male,5,45,1,9,0,agree,0,1
female,3,32,1,7,0,agree,0,1
male,3,61,1,9,1,strong agree,0,1
male,2,71,0,,0,agree,0,
male,1,76,1,10,1,agree,0,1
female,4,58,0,,0,agree,0,
female,5,33,1,9,0,agree,0,0
male,7,56,0,,1,agree,0,
female,4,40,1,14,1,neutral,,1
female,1,85,0,,0,neutral,0,
female,3,40,1,17,0,neutral,0,0
female,5,31,1,11,0,disagree,0,0
male,5,53,1,10,0,disagree,0,
male,6,39,1,11,0,agree,0,0
male,5,49,1,14,1,agree,0,1
male,2,29,1,7,1,neutral,0,1
female,3,33,0,,1,neutral,0,
female,2,74,0,,0,strong agree,0,
female,2,50,0,,0,agree,0,
male,2,34,0,,0,neutral,0,
male,7,59,0,,0,agree,0,
male,2,43,1,8,0,disagree,0,1
male,5,50,0,,1,strong disagree,0,
female,3,82,0,,0,strong disagree,0,
female,6,50,0,,1,neutral,0,
male,3,25,0,,0,agree,0,
male,6,60,0,,1,disagree,,
female,4,39,0,,1,agree,0,
male,4,37,0,,0,agree,0,
male,3,31,0,,0,neutral,0,
female,4,46,0,,1,agree,1,
female,2,31,1,15,1,strong agree,0,0
male,5,55,0,,0,disagree,0,
male,4,60,1,15,1,agree,0,0
female,6,21,1,11,0,agree,0,1
male,5,51,1,17,1,agree,0,1
female,4,38,1,14,0,neutral,0,0
male,3,36,1,17,1,neutral,0,1
female,6,25,0,,0,disagree,0,
female,10,51,0,,1,agree,1,
female,5,78,0,,0,agree,1,
male,7,53,1,18,1,strong agree,0,1
female,8,48,0,,0,agree,0,
female,5,39,0,,0,neutral,0,
male,5,44,1,13,0,agree,0,1
male,4,38,1,13,0,,0,1
male,6,25,1,13,0,agree,0,1
female,3,48,0,,1,strong agree,0,
female,5,38,1,12,0,,0,1
female,2,54,0,,0,,0,
male,5,70,1,16,1,,0,0
male,7,45,1,17,1,agree,0,1
male,1,53,1,19,0,neutral,0,1
male,6,66,0,,0,agree,0,
male,7,36,1,10,1,neutral,0,1
male,5,30,1,14,1,neutral,1,0
male,4,27,0,,1,neutral,0,
female,3,26,1,13,0,neutral,0,1
male,2,52,1,13,0,strong agree,0,1
female,6,29,1,13,1,neutral,1,0
female,5,23,1,14,0,neutral,0,1
male,7,,1,14,0,agree,0,1
female,2,47,0,,1,agree,0,
male,3,71,0,,0,disagree,0,
female,5,49,1,40,0,neutral,0,0
female,18,30,0,,1,strong disagree,0,
male,8,44,1,16,1,strong agree,0,1
female,10,33,1,4,1,disagree,0,0
male,8,58,0,,0,neutral,0,
female,4,34,0,,0,agree,0,
female,4,42,0,,0,strong agree,0,
male,9,36,1,6,0,strong agree,0,0
male,4,33,0,,1,neutral,0,
female,2,49,0,,0,agree,0,
female,3,32,1,23,0,neutral,0,0
male,3,46,0,,0,neutral,0,
female,4,22,0,,1,disagree,0,
female,4,21,1,4,1,disagree,0,0
female,5,29,0,,0,agree,0,
female,10,31,1,10,1,disagree,0,0
male,6,78,0,,0,,0,
male,7,28,0,,0,strong agree,0,
female,3,53,0,,0,neutral,0,
male,5,60,0,,1,agree,0,
male,3,67,0,,0,agree,0,
female,5,48,0,,0,disagree,0,
male,2,73,1,57,1,disagree,0,0
female,5,55,0,,0,agree,0,
male,3,55,0,,0,agree,0,
male,2,26,0,,0,neutral,0,
male,4,52,1,14,0,disagree,0,1
female,5,32,0,,0,strong agree,0,
female,4,32,0,,0,agree,0,
female,6,61,0,,0,agree,0,
female,3,52,0,,0,strong agree,0,
female,4,40,0,,0,agree,0,
male,4,72,1,10,1,agree,0,0
male,5,62,0,,0,disagree,0,
male,6,53,0,,0,disagree,0,
female,5,25,0,,0,agree,0,
female,5,51,0,,0,disagree,0,
male,3,38,0,,0,agree,0,
male,5,66,1,14,0,strong disagree,1,0
male,2,78,1,14,1,agree,1,0
female,3,58,1,15,0,strong agree,0,1
female,3,31,0,,0,agree,0,
female,3,26,0,,0,neutral,0,
male,4,50,1,27,1,agree,1,1
male,4,36,1,27,0,agree,1,1
female,2,48,1,14,0,,0,0
female,2,52,0,,0,neutral,0,
female,4,54,1,10,1,strong disagree,1,0
female,4,25,1,18,1,strong agree,0,0
male,2,59,0,,1,,0,
male,3,55,0,,1,agree,0,
male,3,57,0,,0,agree,0,
female,3,20,1,15,1,disagree,1,0
male,5,51,0,,1,agree,0,
female,3,24,1,8,1,,0,0
male,1,55,1,15,0,agree,0,0
female,6,31,0,,0,disagree,0,
female,7,72,0,,1,strong agree,0,
male,3,42,1,13,0,agree,0,0
male,5,62,1,27,0,agree,0,1
male,2,60,1,17,1,strong agree,0,1
male,6,53,1,35,1,agree,1,0
male,3,53,0,,1,agree,0,
female,5,63,1,37,1,neutral,0,0
female,5,63,1,37,1,neutral,0,0
female,4,34,0,,1,strong agree,0,
male,6,54,0,,1,agree,0,
female,3,24,0,,0,neutral,0,
male,1,26,,,1,neutral,0,
male,6,56,1,5,1,disagree,1,0
female,4,40,0,,1,agree,0,
female,4,40,0,,0,disagree,0,
female,3,31,1,16,1,disagree,0,1
female,7,23,0,,0,agree,0,
female,5,27,0,,1,disagree,0,
male,2,79,0,,1,disagree,0,
female,4,36,1,16,1,,0,0
female,1,61,0,,1,agree,0,
female,2,80,0,,0,agree,0,
male,3,50,0,,1,disagree,0,
male,7,21,1,7,1,disagree,0,1
female,4,34,1,12,0,strong agree,0,1
male,2,60,0,,1,disagree,0,
female,3,27,0,,0,agree,0,
female,7,35,1,17,1,agree,0,0
female,6,37,1,18,1,strong agree,0,1
male,8,49,1,17,1,agree,0,0
female,5,41,1,13,1,,1,1
female,2,54,1,17,1,agree,0,0
female,5,29,0,,0,neutral,0,
female,4,27,1,17,0,strong agree,0,0
male,4,39,0,,0,neutral,0,
female,6,34,0,,1,agree,0,
female,4,50,0,,1,strong agree,0,
female,5,31,0,,0,agree,0,
male,4,69,1,15,1,agree,1,0
male,3,33,1,14,1,disagree,0,1
male,1,68,1,31,1,neutral,1,1
female,4,21,1,2,1,neutral,0,0
male,4,44,1,14,0,agree,0,1
male,5,40,0,,1,strong agree,0,
male,4,43,0,,0,agree,0,
female,5,37,1,10,0,neutral,0,0
female,4,29,0,,0,disagree,0,
female,4,31,0,,0,neutral,0,
male,1,61,0,,0,agree,0,
female,2,51,0,,0,agree,0,
male,5,54,1,13,0,agree,1,1
male,5,47,0,,0,,0,
female,2,74,1,4,1,agree,0,0
male,4,54,0,,0,disagree,0,
male,6,58,0,,1,agree,0,
female,3,50,0,,0,disagree,0,
male,9,51,1,10,0,agree,1,0
female,2,62,1,9,0,agree,0,0
female,3,25,1,13,0,agree,0,0
female,3,37,0,,1,neutral,0,
female,6,63,1,11,0,agree,0,0
male,6,41,0,,0,disagree,0,
female,3,39,0,,0,disagree,0,
female,3,30,0,,0,disagree,0,
female,9,31,0,,0,agree,0,
female,6,27,0,,0,neutral,0,
male,3,73,0,,0,strong agree,0,
female,5,68,1,9,0,agree,1,1
female,3,69,0,,1,agree,0,
female,3,35,0,,1,strong agree,0,
male,4,69,0,,0,disagree,0,
female,5,32,1,4,1,agree,0,0
female,5,41,1,11,0,strong agree,0,1
male,5,60,0,,1,strong disagree,0,
female,3,38,1,27,0,agree,0,0
female,22,64,0,,0,disagree,0,
female,6,38,0,,1,disagree,0,
male,5,38,0,,0,disagree,0,
male,2,33,0,,0,agree,0,
female,1,64,0,,0,,0,
male,1,74,1,23,1,disagree,0,1
male,7,45,0,,1,disagree,0,
female,5,41,0,,0,strong agree,0,
female,5,19,0,,1,neutral,0,
female,6,35,1,8,0,strong agree,0,1
female,6,38,1,4,0,neutral,0,0
male,2,57,0,,0,neutral,0,
female,7,35,1,2,1,,0,1
female,8,65,1,17,0,strong agree,0,1
male,5,45,0,,1,agree,1,
male,4,51,1,11,1,neutral,1,1
female,4,34,1,16,0,strong disagree,0,1
male,2,79,0,,0,agree,0,
male,5,57,0,,1,strong disagree,0,
female,6,40,1,14,0,agree,1,0
female,4,34,1,7,1,agree,0,0
male,7,44,0,,1,agree,0,
male,5,35,0,,0,neutral,0,
female,5,50,0,,0,,0,
male,8,28,0,,0,agree,0,
female,5,49,1,17,1,agree,0,0
female,4,34,0,,0,strong disagree,0,
female,4,38,1,12,1,,0,0
male,2,55,0,,0,neutral,0,
female,8,51,0,,0,,0,
female,1,56,0,,1,,0,
male,4,35,1,22,1,disagree,0,1
male,3,57,0,,0,agree,0,
male,5,32,0,,0,,0,
female,4,48,0,,0,agree,0,
female,4,58,0,,0,neutral,0,
female,6,37,1,8,0,disagree,0,0
female,4,50,0,,0,disagree,0,
male,5,62,0,,0,strong disagree,0,
female,3,54,0,,0,neutral,0,
male,2,36,0,,0,agree,0,
female,6,61,0,,0,strong agree,0,
male,10,73,0,,0,strong agree,0,
female,6,42,0,,0,disagree,0,
male,3,77,1,63,1,strong agree,0,1
male,3,37,0,,0,strong agree,0,
male,4,58,0,,1,agree,0,
male,3,72,0,,0,neutral,0,
male,2,88,0,,0,agree,0,
male,2,67,1,10,0,strong disagree,0,1
male,4,39,1,17,1,agree,0,1
female,4,56,0,,0,strong agree,0,
female,5,41,0,,0,,0,
female,4,42,1,17,0,disagree,1,0
male,3,80,1,11,0,agree,0,1
male,5,61,1,16,1,,0,0
female,5,29,1,13,1,agree,1,0
male,2,56,0,,1,agree,0,
male,2,53,0,,0,agree,0,
female,3,68,0,,0,agree,0,
male,4,50,0,,0,agree,0,
male,5,54,0,,0,disagree,0,
female,7,55,1,35,0,disagree,0,0
female,2,64,0,,0,agree,0,
male,4,82,1,45,0,strong agree,0,1
male,2,79,1,17,0,strong agree,0,1
female,4,31,0,,1,disagree,0,
female,2,66,0,,0,agree,0,
female,5,34,0,,0,agree,0,
male,3,27,0,,1,neutral,0,
female,14,86,1,13,0,agree,0,0
male,5,32,0,,0,,0,
female,2,51,1,16,1,agree,0,1
male,3,46,0,,0,neutral,0,
male,1,25,1,20,0,agree,0,1
male,1,64,1,9,1,agree,0,1
female,3,28,1,11,1,,0,0
female,2,56,0,,1,strong agree,0,
female,4,46,0,,0,,0,
female,15,49,0,,,disagree,1,
female,4,44,1,,0,,0,0
